epoch,maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal,PetscNormRes
1,277.59236193512635,0.0,0.12317693854809134,0.11475072307387707,0.10631418228149414,5.106219647080967,2.0548262409111118,0.08017349243164062,"(1.2566653420843663e-17, 3)"
2,276.20368713329714,0.0,0.1237466226379014,0.11480177762403392,0.0687551498413086,4903.611416246571,14.355224074910566,0.03916501998901367,"(1.7208179303700538e-18, 3)"
3,274.82194338916395,0.0,0.12381641800660095,0.11485257651756083,0.05472874641418457,4770.692557954631,93.54042726406213,0.031119585037231445,"(1.3811678221856462e-19, 3)"
4,273.44709587505133,0.0,0.1238546936671512,0.11490312103118724,0.05227160453796387,4640.947578328433,576.4087735222223,0.03065037727355957,"(6.645140987983853e-19, 3)"
5,272.07910993268507,0.0,0.12388212372148176,0.11495341243525019,0.05976605415344238,4514.300822222105,3374.7218822752543,0.03209877014160156,"(1.1234843681285544e-18, 3)"
6,270.7179510722887,0.0,0.12390403870375724,0.11500345199372479,0.05081510543823242,4390.67930469127,18831.664068525446,0.029813051223754883,"(1.463652866626308e-19, 3)"
7,269.3635849715902,0.0,0.12392260094753792,0.11505324096425681,0.055756330490112305,22429.300503294697,100425.85363464073,0.0329289436340332,"(3.180669576002972e-19, 3)"
8,268.015977474797,0.0,0.12393890140360982,0.11510278059819494,0.055431365966796875,119612.34448954146,513038.1283461207,0.031594038009643555,"(9.436064675686794e-20, 3)"
9,266.6750945915576,0.0,0.12395356771741638,0.11515207214062016,0.055551767349243164,611059.5656142759,2516233.4206707194,0.03254222869873047,"(2.238856019476732e-20, 3)"
10,265.34090249591503,0.0,0.12396699437398767,0.11520111683037952,0.05475163459777832,2997005.198581379,11871593.4430217,0.0315704345703125,"(4.8647648871074006e-12, 2)"
11,264.0133675252527,0.0,0.12397944566067416,0.11524991590011471,0.05393791198730469,14139957.849226786,53977299.77501882,0.03072214126586914,"(5.88337513628314e-12, 2)"
12,262.6924561792325,0.0,0.12399110741189698,0.11529847057629494,0.057331085205078125,64291385.90692241,236897098.81203324,0.03552126884460449,"(1.0310488006948592e-11, 2)"
13,261.3781351187249,0.0,0.12400211535170254,0.1153467820792464,0.058387041091918945,282167351.93445635,1005183121.585241,0.034338951110839844,"(3.411925293945651e-11, 2)"
14,260.07037116472986,0.0,0.12401257168584318,0.11539485162318415,0.05755162239074707,1197279219.0514297,4129382615.8617496,0.035115957260131836,"(1.2347000635484356e-10, 2)"
15,258.76913129728797,0.0,0.1240225553442107,0.11544268041624149,0.05895352363586426,4918563016.522912,16445569216.612818,0.03455400466918945,"(4.3760595730687073e-10, 2)"
16,257.47438265438007,0.0,0.12403212858373537,0.11549026966050095,0.05961346626281738,19588692157.102905,63572691432.72642,0.03794217109680176,"(1.5369702495515411e-09, 2)"
17,256.18609253081553,0.0,0.12404134140160936,0.11553762055202374,0.05864310264587402,75723504589.82642,238807693530.55295,0.03461885452270508,"(5.3516700036859735e-09, 2)"
18,254.90422837710648,0.0,0.12405023457659449,0.11558473428088072,0.05900073051452637,284454011950.1185,872665347989.9149,0.03782057762145996,"(1.8369825305115295e-08, 2)"
19,253.628757798328,0.0,0.12405884182061849,0.11563161203118193,0.058522939682006836,1039477674741.0144,3105311143134.8647,0.03558468818664551,"(6.187428639801404e-08, 2)"
20,252.359648552962,0.0,0.12406719133599038,0.1156782549811058,0.058836936950683594,3698931430507.87,10770355410872.38,0.03502535820007324,"(2.040368706970792e-07, 2)"
21,251.09686855172356,0.0,0.12407530696513792,0.1157246643029291,0.05751752853393555,12829358897276.33,36442457891602.016,0.03488492965698242,"(6.58285885915585e-07, 2)"
22,249.84038585636813,0.0,0.12408320905458327,0.11565333489763738,0.05681586265563965,43409659397361.03,120392913136445.94,0.03318452835083008,"(2.0794876915673775e-06, 2)"
23,248.59016867847774,0.0,0.12409091511444367,0.11553984638330783,0.05923128128051758,143411334115452.62,388644333468933.0,0.03520083427429199,"(6.540037514421e-06, 2)"
24,247.3461853782239,0.0,0.12409844032897284,0.11542692542927509,0.05668282508850098,462954985652818.56,1226833653080302.5,0.03458094596862793,"(1.9837637548000812e-05, 2)"
25,246.1084044631056,0.0,0.1241057979568235,0.1153145691825126,0.06359457969665527,1461423264637831.0,3789722844535892.0,0.038832664489746094,"(5.894841079414492e-05, 2)"
26,244.8767945866593,0.0,0.12411299964847128,0.11520248359699409,0.05843830108642578,4514417644852764.0,1.1463261995573022e+16,0.03460407257080078,"(0.00017172002757401202, 2)"
27,243.6513245471391,0.0,0.12412005570058564,0.11509062380029189,0.05953550338745117,1.3655464923845586e+16,3.3975340787207212e+16,0.03541684150695801,"(0.0004906007433112825, 2)"
28,242.4319632861636,0.0,0.12412697526182674,0.11497932331631447,0.057030677795410156,4.047306744824653e+16,9.872711318043022e+16,0.03428030014038086,"(0.0013754701229652454, 2)"
29,241.2186798873264,0.0,0.12413376650080796,0.11486857933430605,0.058588266372680664,1.176096082514463e+17,2.8143335579189763e+17,0.03558969497680664,"(0.0037862309519195794, 2)"
30,240.01144357476687,0.0,0.12414043674428923,0.11475838905787568,0.05775928497314453,3.352633189565992e+17,7.874426310424338e+17,0.03423714637756348,"(0.010237221677121594, 2)"
31,238.8102237116976,0.0,0.1241469925917281,0.11464874970491594,0.05938529968261719,9.380663120684468e+17,2.1636809555649943e+18,0.037252187728881836,"(0.027202134553506004, 2)"
32,237.6149897988837,0.0,0.12415344001089029,0.11453898491017146,0.07342815399169922,2.5775792411640443e+18,5.841372971891357e+18,0.042586326599121094,"(0.07106711424313002, 2)"
33,236.42571147306973,0.0,0.12415978441816634,0.11442976184565941,0.06853580474853516,6.958857879699716e+18,1.5502114964181197e+19,0.04153895378112793,"(0.1826293576229302, 2)"
34,235.24235850534882,0.0,0.12416603074644444,0.11432108480330071,0.05704689025878906,1.846793137015688e+19,4.045937680911185e+19,0.034923553466796875,"(0.46184094304764145, 2)"
35,234.0649007994685,0.0,0.12417218350278938,0.1142129510402422,0.06316757202148438,4.820041726927161e+19,1.0389368566245368e+20,0.03955245018005371,"(1.1497698428601384, 2)"
36,232.89330839006627,0.0,0.12417824681771533,0.11410535782760906,0.06611967086791992,1.2377277110767788e+20,2.625925874248796e+20,0.03838777542114258,"(2.8190043708489076, 2)"
37,231.7275514408284,0.0,0.1241842244874848,0.11399830245042733,0.06447863578796387,3.128403896915926e+20,6.535417178267404e+20,0.03986215591430664,"(6.80942171602126, 2)"
38,230.5676002425635,0.0,0.124190120010589,0.11389157467800916,0.06320762634277344,7.786066498376599e+20,1.6022450169861062e+21,0.036801815032958984,"(16.21106307224213, 2)"
39,229.413425211182,0.0,0.12419593661934647,0.1137848601518122,0.058446645736694336,1.9088781359933612e+21,3.8708821180268167e+21,0.037244319915771484,"(38.04966549182203, 2)"
40,228.2649968855716,0.0,0.12420167730738728,0.11367867903732949,0.060622215270996094,4.6117286325741006e+21,9.218723723379022e+21,0.03642392158508301,"(88.0793385005754, 2)"
41,227.12228592535735,0.0,0.12420734485365216,0.11357302865597949,0.05781364440917969,1.0983206949631226e+22,2.1650108078377558e+22,0.03594541549682617,"(201.15072791311255, 2)"
42,225.98526310853313,0.0,0.12421294184344019,0.11346790634280093,0.05865049362182617,2.5794258555997797e+22,5.015575712509842e+22,0.035649776458740234,"(453.3452324012451, 2)"
43,224.85389932895086,0.0,0.12421847068682465,0.11336330944637871,0.05475282669067383,5.975695079290584e+22,1.146544095603389e+23,0.0343775749206543,"(1008.6189935516734, 2)"
44,223.72816559364998,0.0,0.12422393363500052,0.11325923532877022,0.0577700138092041,1.366039015658914e+23,2.5870380388333764e+23,0.03457522392272949,"(2215.859017205517, 2)"
45,222.60803302000883,0.0,0.1242293327947318,0.11315568136543247,0.06542682647705078,3.0823354760352145e+23,5.76348372225579e+23,0.03761410713195801,"(4808.348668990683, 2)"
46,221.49347283269537,0.0,0.1242346701411732,0.11305264494514959,0.05883502960205078,6.86699856274387e+23,1.2681224375482604e+24,0.03679704666137695,"(10308.761147195442, 2)"
47,220.38445636039114,0.0,0.1242399475292834,0.11294948667016845,0.058583736419677734,1.5109424198747086e+24,2.7564528817953176e+24,0.035640716552734375,"(21841.7612847607, 2)"
48,219.28095503225498,0.0,0.12424516670401216,0.11284672056121402,0.058890581130981445,3.2842952293643774e+24,5.920639329994636e+24,0.03586459159851074,"(45745.642262977235, 2)"
49,218.18294037407742,0.0,0.12425032930941757,0.11274446807781519,0.06030869483947754,7.054482468709636e+24,1.2569755240508247e+25,0.03657269477844238,"(94732.58729740953, 2)"
50,217.09038400397282,0.0,0.12425543689684568,0.11264272664195792,0.05838632583618164,1.4977121681433846e+25,2.6383541997118812e+25,0.03503227233886719,"(194017.09282120774, 2)"
51,216.0032576290875,0.0,0.12426049093228621,0.11254149368870209,0.06180620193481445,3.1436896777941364e+25,5.4763580580766295e+25,0.03525948524475098,"(393071.56407191086, 2)"
52,214.92153304088114,0.0,0.12426549280300325,0.11244076666611166,0.06471633911132812,6.525345134609912e+25,1.1243566746256191e+26,0.03658628463745117,"(787936.7466744586, 2)"
53,213.84518210997615,0.0,0.12427044382352445,0.1123405430351853,0.06211233139038086,1.3397411123070096e+26,2.283851171574965e+26,0.038315534591674805,"(1563123.5920602477, 2)"
54,212.77417678051714,0.0,0.12427534524106282,0.11224082026978748,0.05621194839477539,2.721383594544814e+26,4.590688207780408e+26,0.03459954261779785,"(3069508.8014801596, 2)"
55,211.7084890639718,0.0,0.12428019824043451,0.11214159585658014,0.06134605407714844,5.470222493057538e+26,9.13326523704498e+26,0.03743457794189453,"(5967697.215133816, 2)"
56,210.64809103229382,0.0,0.12428500394852803,0.11204286729495476,0.05570793151855469,1.0883248494358866e+27,1.7988784664395546e+27,0.03411602973937988,"(11489291.117116464, 2)"
57,209.592954810355,0.0,0.12428976343837347,0.1119446320969649,0.06247520446777344,2.1435796781603588e+27,3.508258696887045e+27,0.036568403244018555,"(21908472.013715178, 2)"
58,208.5430525675364,0.0,0.12429447773285392,0.11184631790811031,0.0579836368560791,4.1805632924026977e+27,6.776094408727075e+27,0.03632926940917969,"(41385188.32820184, 2)"
59,207.49835650834962,0.0,0.12429914780809678,0.11174829729960202,0.06229829788208008,8.074731257752674e+27,1.296423574748346e+28,0.038048505783081055,"(77458882.30456291, 2)"
60,206.45883886193485,0.0,0.12430377459657756,0.11165076661039464,0.05588412284851074,1.5449023642265455e+28,2.457385417156627e+28,0.03431272506713867,"(143674382.759221, 2)"
61,205.42447187025263,0.0,0.12430835898996481,0.11155372338266435,0.05912137031555176,2.9284171179276007e+28,4.615678308237025e+28,0.035373687744140625,"(264139377.95267668, 2)"
62,204.39522777475085,0.0,0.12431290184173237,0.1114571651710215,0.056081533432006836,5.500482518115273e+28,8.592282640789942e+28,0.035103559494018555,"(481400342.4974983, 2)"
63,203.37107880124353,0.0,0.12431740396956124,0.11136108954244524,0.062186241149902344,1.0239516738642562e+29,1.585495981318631e+29,0.03726768493652344,"(869903488.6343845, 2)"
64,202.3519971426831,0.0,0.12432186615755102,0.11126549407621858,0.05645871162414551,1.8894776348403108e+29,2.9005217563476138e+29,0.034174442291259766,"(1558825589.7357848, 2)"
65,201.33795493943884,0.0,0.12432628915825927,0.1111703763638638,0.06172943115234375,3.456674588516373e+29,5.261510191120739e+29,0.03786969184875488,"(2770476715.7225323, 2)"
66,200.32892425660677,0.0,0.12433067369458453,0.11107573400907836,0.0589447021484375,6.2704484320826164e+29,9.465315488684901e+29,0.036032676696777344,"(4884377201.038548, 2)"
67,199.3248770577672,0.0,0.12433502046150724,0.11098156462767111,0.05712580680847168,1.1280520779008788e+30,1.688944895849076e+30,0.03391432762145996,"(8543331138.596808, 2)"
68,198.32578517446458,0.0,0.1243393301277015,0.11088786584749903,0.0565493106842041,2.0128687801975937e+30,2.9896145257377746e+30,0.034264326095581055,"(14827662640.073757, 2)"
69,197.33162027050383,0.0,0.12434360333702864,0.11079463530840422,0.05794215202331543,3.5630438197879154e+30,5.2504463080196e+30,0.034815073013305664,"(25539239064.88525, 2)"
