maxid,minid,maxig,minig,iterationtime,PDEError,FCError,PetscTotal
0.516725007,0,1.052800519,0,0.093955994,1.14E+49,1.14E+49,0.06505537
0.511073094,0,1.04794262,0.000406325,0.072373152,1.14E+49,1.14E+49,0.043452263
0.128740626,0,1.04310813,0.000809746,0.073468447,1.14E+49,1.14E+49,0.042375088
0.130596922,0,1.038296918,0.001210259,0.081696987,1.14E+49,1.14E+49,0.047922373
0.132443937,0,1.03350885,0.001607861,0.061491251,1.14E+49,1.14E+49,0.036608696
0.131781718,0,1.028743795,0.002002549,0.061034203,1.14E+49,1.14E+49,0.0368855
0.131147684,0,1.024001619,0.002394318,0.05903101,1.14E+49,1.14E+49,0.035101891
0.131741946,0,1.019282191,0.002783165,0.066761971,1.14E+49,1.14E+49,0.04168582
0.133583236,0,1.014585382,0.003169085,0.070533276,1.14E+49,1.14E+49,0.039241076
0.129294742,0,1.009911056,0.003552077,0.068529129,1.14E+49,1.14E+49,0.041091204
0.130139607,0,1.005259079,0.003932132,0.065080643,1.14E+49,1.14E+49,0.039617062
0.130727486,0,1.000629318,0.004309244,0.061479092,1.14E+49,1.14E+49,0.037181377
0.134779237,0,0.996021637,0.004683402,0.062228203,1.14E+49,1.14E+49,0.03594017
0.132940802,0,0.991435903,0.005054597,0.061335564,1.14E+49,1.14E+49,0.037345886
0.130646521,0,0.986871981,0.00542282,0.069999933,1.14E+49,1.14E+49,0.041201591
0.130926857,0,0.982329737,0.005788059,0.07298398,1.14E+49,1.14E+49,0.040502548
0.131196925,0,0.977809039,0.006150302,0.06562686,1.14E+49,1.14E+49,0.039063692
0.131457318,0,0.973309753,0.006509537,0.068711758,1.14E+49,1.14E+49,0.038729668
0.13170858,0,0.968831744,0.00686575,0.075516701,1.14E+49,1.14E+49,0.048589945
0.141573489,0,0.964374881,0.007218929,0.080464602,1.13E+49,1.14E+49,0.044502735
0.138905562,0,0.959939027,0.007569059,0.084080696,1.13E+49,1.14E+49,0.048228979
0.137681916,0,0.955524051,0.007916127,0.07316041,1.13E+49,1.14E+49,0.03951478
0.136873125,0,0.951129816,0.008260115,0.064969063,1.13E+49,1.14E+49,0.036529779
0.136261795,0,0.94675619,0.008601009,0.068827868,1.13E+49,1.14E+49,0.042948484
0.135766326,0,0.942403035,0.00893879,0.06848979,1.13E+49,1.14E+49,0.039081573
0.135347214,0,0.938070219,0.009273439,0.059488297,1.13E+49,1.14E+49,0.032917976
0.134982324,0,0.933757604,0.009604938,0.056324959,1.13E+49,1.14E+49,0.033048153
0.134658004,0,0.929465055,0.009933265,0.057969093,1.13E+49,1.14E+49,0.033353806
0.44638377,0,0.925192434,0,0.060529947,1.13E+49,1.14E+49,0.033859491
0.442608126,0,0.920939607,0.010580317,0.077747107,1.13E+49,1.14E+49,0.043673038
0.439726263,0,0.916706433,0.010898995,0.054931164,1.13E+49,1.14E+49,0.032822371
0.437090953,0,0.912492777,0.011214406,0.064671278,1.13E+49,1.14E+49,0.03881216
0.434507372,0,0.908298498,0.011526524,0.069588661,1.13E+49,1.14E+49,0.03772521
0.431833845,0,0.904123459,0.01183532,0.065035343,1.13E+49,1.14E+49,0.03923583
0.428833671,0,0.899967522,0.012140764,0.05815959,1.13E+49,1.14E+49,0.03327775
0.424588661,0,0.895830548,0.012442824,0.066166401,1.13E+49,1.14E+49,0.042696238
0.442652048,0,0.891712561,0,0.070237637,1.13E+49,1.14E+49,0.037757158
0.442844696,0,0.88761342,0,0.062507391,1.13E+49,1.14E+49,0.038179874
0.442118469,0,0.883532983,0,0.066726208,1.13E+49,1.14E+49,0.038625956
0.441077291,0,0.879471107,0,0.063191414,1.13E+49,1.13E+49,0.037664413
0.439883022,0,0.875427647,0,0.075204611,1.13E+49,1.13E+49,0.037782669
0.438601665,0,0.871402458,0,0.061739922,1.13E+49,1.13E+49,0.035347939
